Index,index,"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","MODE OF ACQUISITION 
","BROADCASTE DATE AND TIME 
"
185,185,SRIPIPES,Srikalahasthi Pipes Limited,Mayank Kejriwal,Director,1.33,45000,7859551,Buy,Equity Shares,664976,Market Purchase,10-Jun-2020 13:27
186,186,SRIPIPES,Srikalahasthi Pipes Limited,Mayank Kejriwal,Director,1.31,10000,1687103,Buy,Equity Shares,619976,Market Purchase,09-Jun-2020 10:29
187,187,SUNPHARMA,Sun Pharmaceutical Industries Limited,RAKSHA V VALIA,Immediate relative,1.41,6800000,3405100000,Pledge,Equity Shares,33830352,Pledge Creation,11-Jun-2020 22:08
188,188,SYNGENE,Syngene International Limited,Mukesh Kamath,Employees/Designated Employees,0.0,4975,1866264,Sell,Equity Shares,0,Market Sale,09-Jun-2020 17:06
189,189,SYNGENE,Syngene International Limited,Biocon Limited Employee Welfare Trust,Promoter Group,0.42,31367,11534987,Sell,Equity Shares,1632800,ESOP,09-Jun-2020 17:06
190,190,SYNGENE,Syngene International Limited,Biswajit Banerjiee,Other,0.0,5852,2151195,Buy,Equity Shares,5852,ESOP,09-Jun-2020 17:06
191,191,SYNGENE,Syngene International Limited,Kameswararao A V,Employees/Designated Employees,0.0,6884,2530558,Buy,Equity Shares,17212,ESOP,09-Jun-2020 17:06
192,192,SYNGENE,Syngene International Limited,Akhilesh Nand,Other,0.0,13656,5019945,Buy,Equity Shares,13666,ESOP,09-Jun-2020 17:06
193,193,SYNGENE,Syngene International Limited,Mukesh Kamath K,Employees/Designated Employees,0.0,4975,1833287,Buy,Equity Shares,4975,ESOP,09-Jun-2020 17:06
194,194,TCI,Transport Corporation of India Limited,BHAIYA SUMIT KUMAR,Employees/Designated Employees,0.03,1000,162000,Buy,Equity Shares,21000,Market Purchase,09-Jun-2020 16:29
195,195,TCS,Tata Consultancy Services Limited,Ganesan Krishnamurthy,Employees/Designated Employees,0.0,154,309540,Sell,Equity Shares,22913,Market Sale,10-Jun-2020 18:52
196,196,TCS,Tata Consultancy Services Limited,Ganesan Krishnamurthy,Employees/Designated Employees,0.0,121,246961,Sell,Equity Shares,22067,Market Sale,10-Jun-2020 18:52
197,197,TCS,Tata Consultancy Services Limited,Ganesan Krishnamurthy,Employees/Designated Employees,0.0,100,207700,Sell,Equity Shares,22188,Market Sale,10-Jun-2020 18:52
