SYMBOL,COMPANY,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,% SHAREHOLDING (PRIOR),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),MODE OF ACQUISITION
BAJAJFINSV,Bajaj Finserv Limited,NIMISHA JAIPURIA,Promoter Group,0.19,14800.0,140822194,Sell,Equity Shares,288273,Market Sale
BAJAJFINSV,Bajaj Finserv Limited,KUMUD BAJAJ,Promoter Group,0.24,14800.0,141177005,Buy,Equity Shares,398234,Market Purchase
BAJAJFINSV,Bajaj Finserv Limited,NEELIMA BAJAJ SWAMY,Promoter Group,0.19,23500.0,222186306,Sell,Equity Shares,282019,Market Sale
BAJAJFINSV,Bajaj Finserv Limited,MADHUR BAJAJ,Promoters,0.69,121788.0,1173463916,Sell,Equity Shares,965205,Inter-se-Transfer
BAJAJFINSV,Bajaj Finserv Limited,NIMISHA JAIPURIA,Promoter Group,0.11,121788.0,1173463916,Buy,Equity Shares,303073,Inter-se-Transfer
BAJAJFINSV,Bajaj Finserv Limited,DEEPA BAJAJ,Promoter Group,0.01,13350.0,121387545,Buy,Equity Shares,25025,Gift
BAJAJFINSV,Bajaj Finserv Limited,RAJIVNAYAN BAJAJ,Promoter Group,0.0,66768.0,607101394,Buy,Equity Shares,69118,Gift
BAJAJFINSV,Bajaj Finserv Limited,NIRVAAN FAMILY TRUST,Promoter Group,0.0,75000.0,681952500,Buy,Equity Shares,75000,Gift
BAJAJFINSV,Bajaj Finserv Limited,ARYAMAN FAMILY TRUST,Promoter Group,0.0,75000.0,681952500,Buy,Equity Shares,75000,Gift
BAJAJFINSV,Bajaj Finserv Limited,SUNAINA KEJRIWAL,Promoter Group,0.53,150000.0,1363905000,Sell,Equity Shares,698938,Gift
BAJAJFINSV,Bajaj Finserv Limited,KUMUD BAJAJ,Promoter Group,0.23,23500.0,222743894,Buy,Equity Shares,383434,Market Purchase
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Jamnalal Sons Private Limited,Promoters,17.64,28358.0,75334727,Buy,Equity Shares,19653377,Market Purchase
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Jamnalal Sons Private Limited,Promoters,17.62,20500.0,55507780,Buy,Equity Shares,19625019,Market Purchase
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Jamnalal Sons Private Limited,Promoters,17.66,170000.0,370665131,Buy,Equity Shares,19823377,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Dipak Poddar,Immediate relative,0.0,1500.0,5000415.00,Buy,Equity Shares,5500,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Ashish Sapra,Employees/Designated Employees,0.02,12685.0,41333184.55,Sell,Equity Shares,116010,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Ashish Sapra,Employees/Designated Employees,0.03,34390.0,110437294.80,Sell,Equity Shares,128695,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Ashish Sapra,Employees/Designated Employees,0.01,99085.0,44519881.35,Buy,Equity Shares,163085,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,4125.0,3157151.25,Buy,Equity Shares,55986,ESOP
BAJFINANCE,Bajaj Finance Limited,Ms. Ajita Kakade,Employees/Designated Employees,0.0,8000.0,26400000,Sell,Equity Shares,25788,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Nikhil Patil,Employees/Designated Employees,0.0,150.0,483000,Buy,Equity Shares,458,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Nikhil Patil,Employees/Designated Employees,0.0,308.0,998536,Buy,Equity Shares,308,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Dipak Poddar,Immediate relative,0.0,1500.0,4826145,Buy,Equity Shares,5500,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,500.0,1829000,Sell,Equity Shares,3000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,10000.0,32058600,Sell,Equity Shares,4200,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.01,5000.0,16250000,Sell,Equity Shares,56861,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,5000.0,16400000,Sell,Equity Shares,51861,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.01,5750.0,2576920,Buy,Equity Shares,61861,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri M M Muralidharan,Employees/Designated Employees,0.02,30250.0,2133230,Buy,Equity Shares,174695,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri M M Muralidharan,Employees/Designated Employees,0.02,35620.0,1930604,Buy,Equity Shares,144445,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,500.0,1840000,Sell,Equity Shares,6500,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,500.0,1837000,Sell,Equity Shares,6000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,500.0,1835000,Sell,Equity Shares,5500,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1000.0,3666000,Sell,Equity Shares,4500,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,500.0,1842500,Sell,Equity Shares,2500,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Manish Jain,Employees/Designated Employees,0.0,2500.0,1120400.00,Buy,Equity Shares,19585,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Anup Kumar Saha,Employees/Designated Employees,0.0,6000.0,11519700,Buy,Equity Shares,6000,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Manish Jain,Employees/Designated Employees,0.0,6842.0,26259322.32,Sell,Equity Shares,14085,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Nikhil Patil,Employees/Designated Employees,0.0,250.0,833000,Buy,Equity Shares,708,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri M M Muralidharan,Employees/Designated Employees,0.02,500.0,1768890,Sell,Equity Shares,111875,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Upendra Marathe,Employees/Designated Employees,0.0,7500.0,29775000,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Vivek Likhite,Employees/Designated Employees,0.0,1000.0,4000000,Sell,Equity Shares,32500,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Mohd Javed,Employees/Designated Employees,0.0,145.0,569613.65,Sell,Equity Shares,695,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,9800.0,39586316,Sell,Equity Shares,200,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Bhaskar,Employees/Designated Employees,0.0,10000.0,38932300,Sell,Equity Shares,19745,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Mohd Javed,Employees/Designated Employees,0.0,60.0,197140.2,Sell,Equity Shares,840,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Mohd Javed,Employees/Designated Employees,0.0,100.0,44816,Buy,Equity Shares,900,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Mohd Javed,Employees/Designated Employees,0.0,500.0,224080,Buy,Equity Shares,800,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Upendra Marathe,Employees/Designated Employees,0.0,2750.0,604065,Buy,Equity Shares,7500,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Rajib Bhowmick,Employees/Designated Employees,0.0,1515.0,4969200,Sell,Equity Shares,49794,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,1500.0,6000000,Sell,Equity Shares,47986,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Vivek Likhite,Employees/Designated Employees,0.0,9000.0,35259120,Sell,Equity Shares,33500,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Manish Jain,Employees/Designated Employees,0.0,158.0,606399.26,Sell,Equity Shares,20927,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Manish Jain,Employees/Designated Employees,0.0,1500.0,672240,Buy,Equity Shares,21085,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,1500.0,5100000,Sell,Equity Shares,54486,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,3000.0,10720950,Sell,Equity Shares,51486,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,2000.0,7412000,Sell,Equity Shares,49486,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,4000.0,13685320,Sell,Equity Shares,200,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Vivek Likhite,Employees/Designated Employees,0.0,25500.0,2234055.00,Buy,Equity Shares,42500,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Immediate relative,0.0,410.0,1361200.00,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Nikhil Patil,Employees/Designated Employees,0.0,600.0,1968000,Buy,Equity Shares,1308,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Upendra Marathe,Employees/Designated Employees,0.0,4750.0,655690,Buy,Equity Shares,4750,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1000.0,3660000,Sell,Equity Shares,3500,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Bagati,Employees/Designated Employees,0.0,8000.0,3585280,Buy,Equity Shares,18549,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Anup Kumar Saha,Employees/Designated Employees,0.0,4086.0,7980162.30,Buy,Equity Shares,4086,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Vivek Likhite,Employees/Designated Employees,0.0,3000.0,10597050,Sell,Equity Shares,27000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Jayant Kothare,Employees/Designated Employees,0.0,1000.0,219660,Buy,Equity Shares,1000,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,250.0,876250,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Kurush Irani,Employees/Designated Employees,0.0,4000.0,1792640,Buy,Equity Shares,19000,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,250.0,888750,Sell,Equity Shares,250,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Vivek Likhite,Employees/Designated Employees,0.0,2000.0,7049520,Sell,Equity Shares,30000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Bagati,Employees/Designated Employees,0.0,10.0,35181.20,Sell,Equity Shares,22489,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Jaspreet Singh Chadha,Employees/Designated Employees,0.0,3025.0,4076943.75,Buy,Equity Shares,3025,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Gaurav Kalani,Employees/Designated Employees,0.0,1261.0,2421056.95,Buy,Equity Shares,4111,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Jaspreet Singh Chadha,Employees/Designated Employees,0.0,6375.0,4879233.75,Buy,Equity Shares,9400,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Anup Kumar Saha,Employees/Designated Employees,0.0,1000.0,1919950,Buy,Equity Shares,1000,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Jaspreet Singh Chadha,Employees/Designated Employees,0.0,9400.0,33349320,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Gaurav Kalani,Employees/Designated Employees,0.0,2650.0,3571537.50,Buy,Equity Shares,2850,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Bagati,Employees/Designated Employees,0.0,8000.0,6122960,Buy,Equity Shares,26549,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Bagati,Employees/Designated Employees,0.0,4050.0,14248386,Sell,Equity Shares,22499,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri CVN Murthy,Employees/Designated Employees,0.01,1000.0,3550000,Sell,Equity Shares,72052,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Bagati,Employees/Designated Employees,0.0,4838.0,6520414.50,Buy,Equity Shares,4838,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Bagati,Employees/Designated Employees,0.0,5711.0,10964834.45,Buy,Equity Shares,10549,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Reddy,Employees/Designated Employees,0.0,18143.0,64011588.31,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Reddy,Employees/Designated Employees,0.01,29923.0,105726935.90,Sell,Equity Shares,18143,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Sandeep Jain,Employees/Designated Employees,0.0,2800.0,9895116,Sell,Equity Shares,30200,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,200.0,807884,Sell,Equity Shares,10000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Bagati,Employees/Designated Employees,0.0,22489.0,79305884.27,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1235.0,4506515,Sell,Equity Shares,7000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Vivek Likhite,Employees/Designated Employees,0.0,10000.0,35588100,Sell,Equity Shares,17000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri CVN Murthy,Employees/Designated Employees,0.01,2000.0,7135000,Sell,Equity Shares,70052,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,7000.0,5357590,Buy,Equity Shares,8235,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1235.0,1664471.25,Buy,Equity Shares,1235,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Anup Kumar Saha,Employees/Designated Employees,0.0,4086.0,14873040,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,550.0,1966800,Sell,Equity Shares,2000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1000.0,3570000,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1000.0,3575000,Sell,Equity Shares,1000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,8300.0,29606930,Sell,Equity Shares,14200,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1000.0,3582000,Sell,Equity Shares,4550,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1911.0,3669024.45,Buy,Equity Shares,5550,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,3639.0,4904462.25,Buy,Equity Shares,3639,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri M M Muralidharan,Employees/Designated Employees,0.02,2150.0,7661310,Sell,Equity Shares,108825,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1000.0,3580000,Sell,Equity Shares,2550,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Rakesh Kacha,Employees/Designated Employees,0.0,4000.0,3061480,Buy,Equity Shares,8490,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,11100.0,39299772,Sell,Equity Shares,69620,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,17250.0,1216470,Buy,Equity Shares,80720,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,12500.0,677500,Buy,Equity Shares,63470,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Rakesh Kacha,Employees/Designated Employees,0.0,1700.0,2291175,Buy,Equity Shares,10190,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,10000.0,705200,Buy,Equity Shares,22500,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,12500.0,677500,Buy,Equity Shares,12500,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Jayant Kothare,Employees/Designated Employees,0.0,1000.0,3571000,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri M M Muralidharan,Employees/Designated Employees,0.02,900.0,3186810,Sell,Equity Shares,110975,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Anup Kumar Saha,Employees/Designated Employees,0.0,1000.0,3557000.00,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1000.0,3584000,Sell,Equity Shares,3550,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,10000.0,876100,Buy,Equity Shares,10200,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,250.0,838750,Buy,Equity Shares,3000,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Anup Kumar Saha,Employees/Designated Employees,0.0,5000.0,20250000.00,Sell,Equity Shares,1000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Vijay Solanki,Employees/Designated Employees,0.0,75.0,172875,Buy,Equity Shares,4918,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Vijay Solanki,Employees/Designated Employees,0.0,15.0,42015,Buy,Equity Shares,4843,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Vijay Solanki,Employees/Designated Employees,0.0,75.0,335100,Buy,Equity Shares,4793,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Vijay Solanki,Employees/Designated Employees,0.0,10.0,31370,Buy,Equity Shares,4828,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Vijay Solanki,Employees/Designated Employees,0.0,25.0,94700,Buy,Equity Shares,4818,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Vijay Solanki,Immediate relative,0.0,75.0,338400,Buy,Equity Shares,1075,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Vijay Solanki,Immediate relative,0.0,25.0,109000,Buy,Equity Shares,1100,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Manav Mianwal,Employees/Designated Employees,0.0,1000.0,2217870,Sell,Equity Shares,4130,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Manav Mianwal,Employees/Designated Employees,0.0,500.0,1116070,Sell,Equity Shares,5130,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Fakhari Sarjan,Employees/Designated Employees,0.0,688.0,1499579,Buy,Equity Shares,688,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,1838.0,3083888,Buy,Equity Shares,44302,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Manav Mianwal,Employees/Designated Employees,0.0,2000.0,4716880,Sell,Equity Shares,5630,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Atul Jain,Employees/Designated Employees,0.01,11000.0,30171460,Sell,Equity Shares,62100,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Atul Jain,Employees/Designated Employees,0.01,7000.0,3137120,Buy,Equity Shares,73100,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Atul Jain,Employees/Designated Employees,0.0,15000.0,3294900,Buy,Equity Shares,66100,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,2000.0,4762500,Buy,Equity Shares,6550,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,250.0,662500,Buy,Equity Shares,4550,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Deepak Reddy,Employees/Designated Employees,0.0,3100.0,7456740,Buy,Equity Shares,3100,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Bachhraj Factories Private Limited,Promoter Group,0.0,72000.0,199483655,Buy,Equity Shares,72000,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,250.0,651250,Buy,Equity Shares,4300,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,150.0,382500,Buy,Equity Shares,4050,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Ashwindher Raj,Employees/Designated Employees,0.0,380.0,1080439,Sell,Equity Shares,Nil,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Vivek Likhite,Employees/Designated Employees,0.0,22000.0,3036880,Buy,Equity Shares,54500,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri M M Muralidharan,Employees/Designated Employees,0.02,21500.0,1883615,Buy,Equity Shares,196195,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,9750.0,1345890,Buy,Equity Shares,79010,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri J Sridhar,Immediate relative,0.0,1000.0,2028270,Sell,Equity Shares,21530,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,13000.0,1794520,Buy,Equity Shares,15150,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Anurag Chottani,Employees/Designated Employees,0.0,2150.0,188362,Buy,Equity Shares,2150,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri J Sridhar,Immediate relative,0.0,2250.0,4316693,Sell,Equity Shares,22530,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri J Sridhar,Immediate relative,0.0,7250.0,13771085,Sell,Equity Shares,26280,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,1500.0,2947500,Sell,Equity Shares,41302,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri J Sridhar,Immediate relative,0.0,1500.0,2937720,Sell,Equity Shares,24780,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,1500.0,2897670,Sell,Equity Shares,42802,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,7700.0,14637700,Sell,Equity Shares,81320,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,7700.0,14083300,Pledge Revoke,Equity Shares,89020,Off Market
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,150.0,407250,Buy,Equity Shares,3900,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,3850.0,7239656,Sell,Equity Shares,89020,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Sandeep Jain,Employees/Designated Employees,0.0,6000.0,525660,Buy,Equity Shares,49950,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Sandeep Jain,Employees/Designated Employees,0.0,6500.0,897325,Buy,Equity Shares,43950,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Kurush Irani,Employees/Designated Employees,0.0,2500.0,1120400,Buy,Equity Shares,21500,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,6500.0,897260,Buy,Equity Shares,13300,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,1800.0,157698,Buy,Equity Shares,15100,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.0,49700.0,6860588,Buy,Equity Shares,52700,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Dilip Kamble,Employees/Designated Employees,0.0,6500.0,897260,Buy,Equity Shares,17648,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Dilip Kamble,Employees/Designated Employees,0.0,6000.0,525660,Buy,Equity Shares,11148,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.02,23250.0,48151913,Pledge,Equity Shares,92870,Off Market
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,13500.0,1182735,Buy,Equity Shares,92870,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Amit Raghuvanshi,Employees/Designated Employees,0.01,3850.0,7296905,Pledge Revoke,Equity Shares,92870,Off Market
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,250.0,776250,Buy,Equity Shares,3750,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Dilip Kamble,Employees/Designated Employees,0.0,1000.0,4070000,Sell,Equity Shares,5148,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Hemen Shah,Employees/Designated Employees,0.0,250.0,815000,Buy,Equity Shares,3250,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Manish Jain,Employees/Designated Employees,0.0,500.0,382685,Buy,Equity Shares,17085,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Manish Jain,Employees/Designated Employees,0.0,500.0,224080,Buy,Equity Shares,16585,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Manish Jain,Employees/Designated Employees,0.0,2000.0,896320,Buy,Equity Shares,16085,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.0,93750.0,8213438,Buy,Equity Shares,153750,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.02,150750.0,625657725,Sell,Equity Shares,3000,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.0,60000.0,8282400,Buy,Equity Shares,60000,ESOP
BAJFINANCE,Bajaj Finance Limited,Shri Raul Raj Verma,Employees/Designated Employees,0.0,1336.0,2565053,Buy,Equity Shares,49322,ESOP
BAJFINANCE,Bajaj Finance Limited,Bajaj Allianz General Insurance Co. Ltd.,Promoter Group,0.0,100.0,100077413,Buy,Debentures,1100,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Bajaj Allianz General Insurance Co. Ltd.,Promoter Group,0.0,1000.0,1004016393,Buy,Debentures,1000,Market Purchase
BAJFINANCE,Bajaj Finance Limited,Shri Rajib Bhowmick,Employees/Designated Employees,0.0,350.0,1393000,Sell,Equity Shares,49444,Market Sale
BAJFINANCE,Bajaj Finance Limited,Shri Rajivnayan Bajaj,Promoter Group,0.0,176000.0,705302400,Buy,Equity Shares,176000,Inter-se-Transfer
BAJFINANCE,Bajaj Finance Limited,Shri Rishi Suresh Kapil,Employees/Designated Employees,0.0,925.0,707967,Buy,Equity Shares,1024,ESOP
